Owner,Name,OwnedComment
Observations::SampleTypes,VoltAmpereReactive,The measurement of reactive power in an AC electrical circuit (commonly referred to as VAR).
Observations::SampleTypes,VolumeFluid,The fluid volume of an object or container.
Observations::SampleTypes,ActualVolumeFluid,The measured value of the data item type given by a sensor or encoder.
Observations::SampleTypes,ConsumedVolumeFluid,The amount of bulk material consumed from an object or container during a manufacturing process.
Observations::SampleTypes,VolumeSpatial,The geometric volume of an object or container.
Observations::SampleTypes,ActualVolumeSpatial,The measured value of the data item type given by a sensor or encoder.
Observations::SampleTypes,ConsumedVolumeSpatial,The amount of bulk material consumed from an object or container during a manufacturing process.
Observations::EventTypes,WaitState,"An indication of the reason that {model:EXECUTION} is reporting a value of {model:WAIT}.
  
 The {term:Valid Data Value} *MUST* be {model:POWERING_UP}, {model:POWERING_DOWN}, {model:PART_LOAD}, {model:PART_UNLOAD}, {model:TOOL_LOAD}, {model:TOOL_UNLOAD}, {model:MATERIAL_LOAD}, {model:MATERIAL_UNLOAD}, {model:SECONDARY_PROCESS}, {model:PAUSING}, or {model:RESUMING}."
Observations::SampleTypes,Wattage,The measurement of power flowing through or dissipated by an electrical circuit or piece of equipment.
Observations::SampleTypes,ActualWattage,The measured value of the data item type given by a sensor or encoder.
Observations::SampleTypes,TargetWattage,The desired measure or count for a data item value.
Observations::EventTypes,Wire,A string like piece or filament of relatively rigid or flexible material provided in a variety of diameters.
Observations::EventTypes,WorkholdingId,"The identifier for the current workholding or part clamp in use by a piece of equipment. 
 The {term:Valid Data Value} *MUST* be a text string."
Observations::EventTypes,WorkOffset,A reference to the offset variables for a work piece or part associated with a {model:Path} in a {model:Controller} type component.
